,runtime_graphshapiq,budget,n_players,mse_KernelSHAPIQ,runtime_KernelSHAPIQ,mse_SVARMIQ,runtime_SVARMIQ,mse_InconsistentKernelSHAPIQ,runtime_InconsistentKernelSHAPIQ,mse_SHAPIQ,runtime_SHAPIQ,mse_PermutationSamplingSII,runtime_PermutationSamplingSII,mse_L_Shapley,runtime_L_Shapley
212,1.4144022464752197,3599.0,28.0,0.02735523046638698,1.1192927360534668,0.04179878570058424,1.3536491394042969,0.02495571218882791,1.0905733108520508,0.7323730330244187,0.9321205615997314,0.09545925293956249,0.6143543720245361,1.8450456999527611,0.3284487724304199
213,1.118189811706543,3119.0,20.0,0.05392647742900982,0.7664868831634521,0.01873162054436323,0.9178972244262695,0.1322404292367141,0.7778689861297607,0.094838635875722,0.5969123840332031,0.02801018645351519,0.5353548526763916,2.266251309922103,0.1530609130859375
217,3.128654718399048,8510.0,24.0,0.0794434299228425,2.5429699420928955,0.01796464567055627,2.831688642501831,0.03793375871365852,2.7127606868743896,0.0451422796579973,1.8844120502471924,0.08310934113610281,1.4452476501464844,9.303711967729571,0.3724386692047119
218,1.2233762741088867,3407.0,24.0,0.07142616342136623,0.9229743480682373,0.035994149781947024,1.1315910816192627,0.08699327316708626,0.92342209815979,0.2768815493340564,0.8179407119750977,0.06055634252425088,0.5089068412780762,1.6552629730089106,0.22092223167419434
222,2.063321113586426,6197.0,35.0,0.057796270060631594,2.171069622039795,0.04160411108404794,2.823932647705078,0.049696779467563026,2.2649192810058594,0.4372621502040764,1.5797429084777832,0.025223010027455597,1.1653475761413574,2.3833011605628616,0.48855042457580566
223,1.2267005443572998,3614.0,22.0,0.0522390589477638,0.953803300857544,0.03723788982998585,1.103933572769165,0.03264597643319891,0.9522359371185303,0.12576957756072354,0.8446497917175293,0.08577248226739033,0.5642316341400146,7.122223541034571,0.2176346778869629
224,2.0943870544433594,6157.0,26.0,0.12804205329485566,1.785038948059082,0.05259353803432668,1.9940459728240967,0.1608740891130297,1.9571971893310547,0.0827165388051052,1.2269957065582275,0.1549721185563669,1.0610778331756592,10.739002556893345,0.3130056858062744
228,1.4755957126617432,4367.0,20.0,0.05421358215416864,1.0540311336517334,0.010529989960650056,1.175581932067871,0.06409694582142744,1.250990390777588,0.024791705828634186,0.8193283081054688,0.05107819509391892,0.6044890880584717,4.372620527103506,0.15738153457641602
230,1.979325532913208,5790.0,23.0,0.07945981884359087,1.5968425273895264,0.04142760389670176,1.7586228847503662,0.08312029378696673,1.6960322856903076,0.08298766138278024,1.2323691844940186,0.07691434287121106,0.8963623046875,7.857276177888703,0.37764930725097656
232,2.6537768840789795,7932.0,28.0,0.07408768900809386,2.417985439300537,0.04518403599963827,2.7679691314697266,0.0784896409792362,2.6476223468780518,0.08730293092241849,1.7999012470245361,0.06236744517839605,1.338270664215088,12.501664321677413,0.4879336357116699
233,3.355240821838379,9453.0,34.0,0.2120896989621047,3.4436285495758057,0.03189508132672442,4.1106202602386475,0.10115128909442958,3.6383447647094727,0.06286425914542211,2.397810935974121,0.03493897058635753,1.5753083229064941,6.719084786535894,0.6962206363677979
234,2.777578353881836,7646.0,34.0,0.028588612321889466,2.53604793548584,0.01565207271233247,3.276240825653076,0.027191659400701975,2.6795337200164795,0.13681385908764454,1.991157054901123,0.036676908817178604,1.3126769065856934,1.9794343789562483,0.4345409870147705
